worshipped: 2
eaten     : 2
sheep     : 2
original  : 2
Mister    : 2
offer     : 2
plans     : 2
drive     : 2
indicate  : 2
entered   : 2
CROOP     : 2
parish    : 2
contact   : 2
BALLADS   : 2
Hundred   : 2
Instead   : 2
trembling : 2
lump      : 2
blacks    : 2
works     : 2
leech     : 2
everything: 2
penal     : 2
South     : 2
sigh      : 2
knees     : 2
marries   : 2
high      : 2
download  : 2
different : 2
directly  : 2
PICKETY   : 2
tasted    : 2
shehad    : 2
referring : 2
crippled  : 2
surprised : 2
silent    : 2
stopped   : 2
hill      : 2
tightly   : 2
Town      : 2
kid       : 2
Modest    : 2
British   : 2
Answered  : 2
nights    : 2
ones      : 2
following : 2
martinet  : 2
tremble   : 2
divers    : 2
furious   : 2
preaching : 2
greatest  : 2
compliments: 2
owners    : 2
quiet     : 2
Recollection: 2
Lethe     : 2
themThey  : 2
TUPPER    : 2
lent      : 2
flown     : 2
disclaimers: 2
society   : 2
dickens   : 2
ticket    : 2
blocks    : 2
TANTALUS  : 2
twentyIn  : 2
loves     : 2
hates     : 2
nautical  : 2
rhymes    : 2
west      : 2
hated     : 2
pitched   : 2
condition : 2
floor     : 2
sport     : 2
lea       : 2
leg       : 2
pace      : 2
wandered  : 2
dollars   : 2
Stratford : 2
lie       : 2
homes     : 2
involved  : 2
titled    : 2
Suppose   : 2
Gracious  : 2
threw     : 2
computer  : 2
fury      : 2
babyhood  : 2
None      : 2
silken    : 2
Queen     : 2
Youth     : 2
pause     : 2
ample     : 2
themThan  : 2
wildly    : 2
pluckier  : 2
foundered : 2
whichever : 2
assigned  : 2
October   : 2
brings    : 2
bird      : 2
Appeared  : 2
gnashed   : 2
harmonium : 2
letters   : 2
bits      : 2
signed    : 2
LawWas    : 2
amputation: 2
mention   : 2
bless     : 2
princes   : 2
feet      : 2
coachman  : 2
equipment : 2
martial   : 2
handsome  : 2
winked    : 2
Error     : 2
reverend  : 2
open      : 2
APPLEBODY : 2
greedy    : 2
gazed     : 2
fortnight : 2
DROP      : 2
unaffected: 2
